Channels,CH1,CH2,CH3,CH5,CH6,CH7
$m$ (pA/s),-5.1±0.2,-7.2±0.1,-6.5±0.1,-5.0±0.1,-7.6±0.1,-5.1±0.2
$b$ ($\mu$A),0.316,0.316,0.308,0.218,0.364,0.332
