  ,CH2,CH3,CH6,CH7
$I_0$ (nA),$6.07\pm0.08$,$7.19\pm0.11$,$5.75\pm0.12$,$9.68\pm0.41$
$\tau$ (s),$450\pm10$,$610\pm30$,$280\pm10$,$350\pm30$
