,Initial,After 1 hr 1XPBS,1XPBS replaced
On-Off Ratio (arb.),5.1 ± 0.3,5.0 ± 0.7,5.0 ± 0.6
Dirac Point Voltage (V),0.28 ± 0.04,0.31 ± 0.03,0.28 ± 0.02
