Addition #,1,2,3,4,5,6
Addition conc.,0 fM,1 fM,1 pM,1 nM,1 µM,1 µM
Volume in well,100 µL,120 µL,140 µL,160 µL,180 µL,200 µL
Conc. in well,0 fM,170 aM,140 fM,130 pM,110 nM,200 nM
